date,pollster,n,party,value
2025-08-25,INSA,2002,CDUCSU,0.25
2025-08-25,INSA,2002,AfD,0.25
2025-08-26,Forsa,2501,CDUCSU,0.25
2025-08-26,Forsa,2501,AfD,0.26
2025-08-29,INSA,1202,CDUCSU,0.26
2025-08-29,INSA,1202,AfD,0.25
2025-09-01,INSA,2004,CDUCSU,0.255
2025-09-01,INSA,2004,AfD,0.25
2025-09-02,Forsa,2502,CDUCSU,0.25
2025-09-02,Forsa,2502,AfD,0.26
2025-09-03,Infratest dimap,1342,CDUCSU,0.27
2025-09-03,Infratest dimap,1342,AfD,0.25
2025-09-05,Forschungsgruppe Wahlen,1269,CDUCSU,0.27
2025-09-05,Forschungsgruppe Wahlen,1269,AfD,0.25
2025-09-07,INSA,1287,CDUCSU,0.26
2025-09-07,INSA,1287,AfD,0.25
2025-09-08,INSA,2006,CDUCSU,0.255
2025-09-08,INSA,2006,AfD,0.255
2025-09-09,Forsa,2500,CDUCSU,0.25
2025-09-09,Forsa,2500,AfD,0.26
2025-09-10,Verian,1460,CDUCSU,0.26
2025-09-10,Verian,1460,AfD,0.25
2025-09-13,INSA,1204,CDUCSU,0.25
2025-09-13,INSA,1204,AfD,0.25
2025-09-16,Forsa,2502,CDUCSU,0.25
2025-09-16,Forsa,2502,AfD,0.25
2025-09-16,INSA,2004,CDUCSU,0.255
2025-09-16,INSA,2004,AfD,0.255
2025-09-17,YouGov,1649,CDUCSU,0.26
2025-09-17,YouGov,1649,AfD,0.27
2025-09-19,Forschungsgruppe Wahlen,1419,CDUCSU,0.26
2025-09-19,Forschungsgruppe Wahlen,1419,AfD,0.26
2025-09-20,INSA,1200,CDUCSU,0.25
2025-09-20,INSA,1200,AfD,0.26
2025-09-23,Forsa,2504,CDUCSU,0.25
2025-09-23,Forsa,2504,AfD,0.27
2025-09-23,INSA,2002,CDUCSU,0.245
2025-09-23,INSA,2002,AfD,0.26
2025-09-24,Allensbach,1013,CDUCSU,0.27
2025-09-24,Allensbach,1013,AfD,0.24
2025-09-26,INSA,1200,CDUCSU,0.25
2025-09-26,INSA,1200,AfD,0.26
2025-09-29,INSA,2006,CDUCSU,0.25
2025-09-29,INSA,2006,AfD,0.26
2025-09-30,Forsa,2504,CDUCSU,0.24
2025-09-30,Forsa,2504,AfD,0.27
2025-09-30,GMS,1012,CDUCSU,0.26
2025-09-30,GMS,1012,AfD,0.25
2025-10-02,Forschungsgruppe Wahlen,1300,CDUCSU,0.27
2025-10-02,Forschungsgruppe Wahlen,1300,AfD,0.25
2025-10-02,Infratest dimap,1306,CDUCSU,0.26
2025-10-02,Infratest dimap,1306,AfD,0.26
2025-10-04,INSA,1186,CDUCSU,0.24
2025-10-04,INSA,1186,AfD,0.26
2025-10-06,INSA,2010,CDUCSU,0.245
2025-10-06,INSA,2010,AfD,0.265
2025-10-07,Forsa,2001,CDUCSU,0.24
2025-10-07,Forsa,2001,AfD,0.26
2025-10-10,Verian,1478,CDUCSU,0.25
