storenum,opendate,city,state,lat,lon
1109,1987-06-30,Rayville,LA,32.457301,-91.78754
1110,1987-09-01,Farmerville,LA,32.764289,-92.37657
1111,1987-11-17,Hartwell,GA,34.366948,-82.9201
1112,1987-08-18,Thomaston,GA,32.895794,-84.33084
1113,1987-11-03,London,KY,37.143828,-84.07839
1114,1988-02-02,Mountain View,AR,35.863114,-92.11108
1115,1987-11-03,Hohenwald,TN,35.535397,-87.54905
1116,1987-11-17,Duncan,OK,34.502833,-97.95185
1117,1987-12-31,Plano,TX,33.054671,-96.73506
1118,1987-11-17,Mesquite,TX,32.72203,-96.61634
1119,1987-11-03,Naples,FL,26.121546,-81.75251
1120,1987-11-03,Kansas City,MO,39.202654,-94.51816
1121,1987-08-04,Milledgeville,GA,33.083579,-83.23397
1122,1987-10-01,Toccoa,GA,34.561584,-83.31718
1123,1987-11-03,Seneca,SC,34.660345,-82.94557
1124,1987-10-01,Hartselle,AL,34.442184,-86.94027
1125,1987-11-17,Normal,IL,40.515485,-88.98629
1126,1987-11-17,Boerne,TX,29.851666,-98.72932
1127,1988-11-17,Wadesboro,NC,34.985423,-80.08543
1128,1988-03-01,Mansura,LA,31.067379,-92.05447
1129,1988-11-17,Austin,TX,30.451348,-97.76588
1130,1988-02-02,Laurens,SC,34.503167,-82.02271
1131,1988-02-02,Taylorsville,NC,35.914275,-81.2083
1132,1988-06-14,Asheboro,NC,35.686122,-79.82919
1133,1988-03-01,Albemarle,NC,35.351477,-80.19879
1134,1988-04-12,Defuniak Springs,FL,30.747244,-86.14665
1135,1988-03-01,Hartsville,SC,34.386728,-80.08256
1136,1988-06-02,Port Allen,LA,30.473536,-91.26324
1137,1988-04-12,Houston,TX,29.778526,-95.18118
1138,1988-02-02,Madison,WI,43.029497,-89.50531
1139,1988-02-02,Morehead,KY,38.19056,-83.4321
1140,1988-02-02,Mount Sterling,KY,38.061248,-83.92964
1141,1988-06-30,Greenfield,IN,39.799143,-85.78446
1142,1988-03-01,Scottsburg,IN,38.684426,-85.80304
1143,1988-04-12,Sandersville,GA,32.984529,-82.8375
1144,1988-05-03,York,SC,35.005981,-81.21176
1146,1988-06-30,Moncks Corner,SC,33.164225,-80.01039
1147,1988-02-02,Flippin,AR,36.263145,-92.57635
1148,1988-11-01,Wichita Falls,TX,33.859798,-98.54064
1149,1988-05-03,Thatcher,AZ,32.816055,-109.76487
1150,1988-05-03,College Station,TX,30.571905,-96.29882
1151,1987-11-17,Kansas City,KS,39.112204,-94.66643
1152,1988-03-08,Sioux Center,IA,43.075142,-96.19039
1153,1987-11-17,Macon,GA,32.730641,-83.6793
1154,1988-04-12,Fredericksburg,TX,30.279267,-98.88389
1155,1988-06-30,Lumberton,NC,34.620874,-78.98986
1156,1988-08-16,Mooresville,NC,35.571827,-80.89228
1157,1988-05-03,North Vernon,IN,39.011225,-85.63325
1158,1988-03-01,Birmingham,AL,33.558772,-86.89199
1159,1988-06-02,New Tazewell,TN,36.417235,-83.65241
1160,1988-06-30,Aurora,IN,39.060204,-84.93094
1161,1988-06-30,Saint Charles,MO,38.762715,-90.53903
1162,1988-05-03,Washington,IN,38.658196,-87.17619
1163,1988-03-01,New Orleans,LA,29.938155,-90.03667
1164,1988-05-03,Columbia,SC,34.075611,-81.17611
1165,1988-09-01,Radcliff,KY,37.828459,-85.93888
1166,1988-06-02,Elizabethtown,NC,34.647611,-78.586429999999993
1167,1988-08-16,Kenosha,WI,42.601842,-87.87617
1168,1988-03-01,Columbia,MS,31.255242,-89.79264
1169,1988-05-03,Springhill,LA,32.994597,-93.45992
1170,1988-05-03,Louisville,KY,38.096056,-85.85994
1171,1988-06-30,Sarasota,FL,27.407657,-82.52923
1172,1988-08-16,Jacksonville Beach,FL,30.284641,-81.39844
1173,1988-02-02,Jacksonville,FL,30.28374,-81.58359
1174,1988-04-12,Thomasville,AL,31.936003,-87.77013
1175,1988-11-01,Flagstaff,AZ,35.279872,-111.72256
1176,1988-04-12,Stoughton,WI,42.926473,-89.22432
1177,1988-10-03,Ballwin,MO,38.601403,-90.55209
1178,1988-03-01,Bedford,TX,32.851678,-97.13849
1179,1988-05-03,Asheville,NC,35.54179,-82.52307
1180,1988-03-01,Greensburg,IN,39.333248,-85.47579
1181,1988-06-02,Marietta,GA,33.932052,-84.54746
